year,group,demographic,pct_of_group,democrat,republican,other,winner
2012,All,All,100,51,47,2,democrat
2012,Gender,Men,47,45,52,3,democrat
2012,Gender,Women,53,55,44,1,democrat
2012,Race,White,72,39,59,2,democrat
2012,Race,African-American,13,93,6,1,democrat
2012,Race,Hispanic,10,71,27,2,democrat
2012,Race,Asian,2,73,26,1,democrat
2012,Race,Other,3,58,38,4,democrat
2008,All,All,100,53,45,2,democrat
2008,Gender,Men,47,49,48,3,democrat
2008,Gender,Women,53,56,43,1,democrat
2008,Race,White,74,43,55,2,democrat
2008,Race,African-American,13,95,4,1,democrat
2008,Race,Hispanic,9,67,31,2,democrat
2008,Race,Asian,2,66,31,3,democrat
2008,Race,Other,3,66,32,2,democrat
2004,All,All,100,48,51,1,republican
2004,Gender,Men,46,44,55,1,republican
2004,Gender,Women,54,51,48,1,republican
2004,Race,White,77,41,58,1,republican
2004,Race,African-American,13,88,11,1,republican
2004,Race,Hispanic,9,67,31,2,republican
2004,Race,Asian,2,56,43,1,republican
2004,Race,Other,3,54,40,6,republican
2000,All,All,100,48,48,4,republican
2000,Gender,Men,48,43,54,3,republican
2000,Gender,Women,52,54,44,2,republican
2000,Race,White,81,42,55,3,republican
2000,Race,African-American,10,90,9,1,republican
2000,Race,Hispanic,7,62,35,3,republican
2000,Race,Asian,2,55,41,4,republican
1996,All,All,100,49,41,10,democrat
1996,Gender,Men,48,44,45,11,democrat
1996,Gender,Women,52,55,38,7,democrat
1996,Race,White,83,44,46,10,democrat
1996,Race,African-American,10,84,12,4,democrat
1996,Race,Hispanic,5,73,21,6,democrat
1996,Race,Asian,1,44,48,8,democrat
1992,All,All,100,43,37,20,democrat
1992,Gender,Men,47,41,38,21,democrat
1992,Gender,Women,53,45,38,17,democrat
1992,Race,White,87,39,41,20,democrat
1992,Race,African-American,8,83,10,7,democrat
1992,Race,Hispanic,2,61,25,14,democrat
1992,Race,Asian,1,31,55,14,democrat
